Pseudonym,Message,R1 Discussion type,R2 Discussion Type,R1 Dialogic spell,R2 Dialogic Spell,R1 Uptake,R2 Uptake,R1 Question,R2 Question,R1 Pivot,R2 Pivot,Memo
Joe Ross,or maybe he put her behind one of the doors!,Seminar,Seminar, ,,,,,,Deliberation to Seminar,,
Carol Simmons,it's I know I live without him final question,Seminar,Seminar, ,,,,,,,,
Lisa Morgan,Oh that would be a good punishment for her!,Seminar,Seminar,End,,,,,,,,
Carol Simmons,Did you guys get the final question,Deliberation,Deliberation,Begin,,,,C-LOT,,Seminar to Deliberation,,
Carol Simmons,I know live without him,Seminar,Deliberation, ,,,,,,Deliberation to Seminar,,
Joe Ross,im just back at the screen we were at before,Deliberation,Deliberation, ,,,,,,Seminar to Deliberation,,
Lisa Morgan,I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.,Deliberation,Deliberation, ,,,,,,,,
Joe Ross,and then it just seems to end,Deliberation,Deliberation, ,,,,,,,,
Lisa Morgan,"Does anyone have any idea how to ""add the title SUBMITTED"" to our response?",Deliberation,Deliberation, ,,,,,C-LOT,,,
Joe Ross,i do not,Deliberation,Deliberation, ,,,,,,,,
Carol Simmons,I was looking for that,Deliberation,Deliberation, ,,,,,,,,
Lisa Morgan,Also feel free to add anything to them if you would like.,Deliberation,Deliberation, ,,,,,,,,
Carol Simmons,Submitted,Deliberation,Deliberation, ,,,,,,,,
Lisa Morgan,What did you have to do?,Deliberation,Deliberation, ,,,,C-LOT,O-LOT,,,
Carol Simmons,I just added a title submitted so I guess we're done. This was very interesting and challenging.,Deliberation,Deliberation,End,,,,,,,,
Lisa Morgan,lol well ok then. Nice work team,Social,Deliberation,,,,,,,Deliberation to Social,,
Carol Simmons,Don't forget we have to go on to canvas and complete the survey and submit it,Deliberation,Deliberation,,,,,,,Social to Deliberation,,
Joe Ross,Thank you team!  Nice collab!,Social,Social,,,,,,,Deliberation to Social,,
Lisa Morgan,"Sounds good, I am going to get off of here.",Social,Social,,,,,,,,,
Carol Simmons,Nice work team,Social,Social,,,,,,,,,
Joe Ross,have a great evening!,Social,Social,,,,,,,,,
Carol Simmons,Me too goodnight! Thanks guys!,Social,Social,,,,,,,,,
Diane Gonzalez,"I think the tiger is behind the door, as it would create a plot twist when its not the predictable lady. The king may show mercy towards his daughter, as she is royalty. Instead, she might have to go on a quest of some kind to prove her worth to inherit the thrown one day.",Seminar,Seminar,Begin,Begin,,,,,,,
Deborah Evans,"I agree with you, Diane Gonzalez. I am convinced that the princess lead the gentleman to the door hiding the tiger. It would make a brilliant plot twist, but with the information we know about the character of the King, that can be found within the princess as well. In my mind she believes if she can't have the man, she sure does not want another woman to have him, especially someone she despises.",Seminar,Seminar,,,Affirm,Affirm,,,,,
Deborah Evans,"As for the second part, I'm not sure if the King would carry out the same punishment for his daughter as he would the commoners. However, he would definitely think of another way to punish her that would consist of a clever, yet barbaric twist for her to prove her loyalty and worth.",Seminar,Seminar,,,,,,,,,
Cheryl Diaz,"Hi Diane Gonzalez and Deborah Evans. I'm sorry to be so late joining the conversation. If I ponder too long, I'll never come to a conclusion, so I'm going to write my first thoughts. I share your  he's barbaric, and he's fine doling out punishment to his own daughter, as his punishment of her lover has in effect punished her as well. take that the princess will direct the gentleman to the tiger - she's lost him either way and her jealousy and barbarism are too great. On the other hand, the text describes her and the gentleman as having one soul, which I take to mean he would know if she chose the tiger, in which case he'd choose the other door, yet he doesn't. So does that mean she didn't choose the tiger? Or that he'd rather die than be with another woman? For Part 2, I believe the king likely would not show mercy, even to his own daughter, as he has consistently relied on this method of justice","Social, Seminar",Seminar,,,"Affirm, Elaborate","Affirm, Clarify","C-HOT, C-HOT","C-HOT, C-HOT",Seminar to Social,,
Cheryl Diaz,"We can continue to discuss individually, or if you want to try writing collaboratively at the same time, please suggest a time. I'm available any evening this week starting at 6 p.m. I'll keep tabs on here from now on to see if you want to do that. Thanks, Robyn",Procedure,Procedure,Break,Break,,,,,Seminar to Procedure,,
Cheryl Diaz,"Curiosity got the best of me, and I googled this book, which I'd never heard of despite it being a well-known allegory. It presents an unsolvable problem, yet we all felt pretty confident taking a stab at answering the prompts. I wonder what we are to make of all of us feeling pretty certain the princess chose the tiger. Is our choice based on the author's characterization of her or our belief that human nature is fundamentally selfish?",Imaginative,Seminar,,,,,"O-HOT, C-HOT",C-HOT,Procedure to Imaginative,,
Cheryl Diaz,I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.,"Deliberation, Social",Deliberation,,,,,,,Imaginative to Deliberation/Social,,
Deborah Evans,"Cheryl Diaz, you bring up a good point - are we truly using the information gained through the reading or our own beliefs that human nature is fundamentally selfish. You really have me thinking about this.",Imaginative,Seminar,End,End,Affirm,Affirm,C-HOT,C-HOT,Deliberation to Imaginative,Seminar to Procedure,
Deborah Evans,"Since we have each answered the two questions that were proposed, maybe choosing a day/time to all discuss our final answer to the prompt would be best. I am pretty flexible and am available today-thursday just about all day.",Procedure,Procedure,Begin,Begin,,,,,Imaginative to Procedure,,
Cheryl Diaz,"Dr. Austin said have fun with it, and it is fun to ponder what might happen in the story. I think the main reason for setting a time to discuss it at the same time would be to test the collaborative software, using the box below instead of this one. I believe we could all write in it at the same time and see each other typing and change each other's words until we all agree we are done with our assessment. If we are able to do that, we might find there are unexpected positives or negatives to the collaboration process or system that we can only otherwise surmise. As you say, we've all responded to the prompts, so what we say doesn't matter that much, so all we'd need is a few minutes to see how using the box works. So if you want to try meeting, I could do Wednesday any time of day. Just set a time and I'll log on then. Thanks.",Procedure,Procedure,,,,,,,Procedure to Deliberation to Procedure,,
Deborah Evans,I can meet tomorrow (Wednesday) at 9am EST/8CST.,Procedure,Procedure,,,,,,,,,
Cheryl Diaz,"Perfect. ""See"" you then.",Procedure,Procedure,End,End,,,,,,,
Cheryl Diaz,Good morning. I'm here.,Social,Social,Begin,,,,,,Procedure to Social,,
Deborah Evans,Good morning,Social,Social,,,,,,,,,
Cheryl Diaz,"Hi. I'm not sure if we were supposed to ultimately write an ending to the story or just answer the prompts collectively. I wrote an ending below, and you can change it or replace it. We just want to test the use of the space at the same time, I think.",Procedure,Procedure,,Begin,,,,,Social to Procedure,Social to Procedure,
Cheryl Diaz,Do you see what I typed in the box below?,Procedure,Procedure,,,,,C-LOT,C-LOT,,,
Deborah Evans,I did this assignment twice last semester. I think they are just trying to get feedback on how it works/doesn't work. If the prompts and/or grouping is sufficient.,Procedure,Procedure,,,,,,,,,
Deborah Evans,"Yes, I see it. It looks great",Procedure,Procedure,,,Affirm,Affirm,,,,,
Cheryl Diaz,"Oh, yay! Can you type a few words in there so I can see if they appear in real time? Then I think we can sign off.",Procedure,Procedure,,,,,C-LOT,C-LOT,,,
Cheryl Diaz,"Sorry, i see you comment now.",Procedure,Procedure,End,,,,,,,,
Cheryl Diaz,"Thanks. I apologize for delaying you on completing this assignment, but I appreciate your taking the extra time for me. Good luck with the rest of the semester!",Social,Social,,,,,,,Procedure to Social ,Procedure to Social,
Deborah Evans,Looks good! I guess we can complete the post survey and submit our assignment,Social,"Social, Procedure",,,,Affirm,,,,,
Deborah Evans,Good luck to you as well,Social,Social,,,,,,,,,
Cheryl Diaz,Yes. Thanks. Bye!,Social,Social,,End,,,,,,,
Joyce Brown,I  think she sends him to the door with the tiger. When the king finds out that she knew he is so pleased by her barbarism that he does nothing but inside he has now decided that she is a worthy predecessor.,Seminar,Seminar,Begin,Begin,,,,,,Deliberation to Seminar,
Joyce Brown,"Ha, I meant successor.",Seminar,Seminar, ,,,,,,,,
Ashley Peterson,"I believe she tells him to open the door with the tiger. This isn't a question of whether or not she loves him, or even trusts him. It's clearly written that she loves him dearly, and his trustworthiness isn't something to consider so heavily since she will lose him heavily. I think she points him to the tiger because of how much more thought she put into the aftermath of sending him towards the lady. She laments on how horrifying it would be to watch her loved one die at the hands of ferocity, but laments even more at the thought of watching him live a different life with someone other than her. She even gives his death a hopeful spin, that they may meet again in the afterlife or some equivalent, but gives no optimistic spin to him choosing the lady, she even mentions the whole if she can't have him no one can.""""",Seminar,Seminar, ,,Elaborate,,,,,,
Ashley Peterson,since she will lose him anyway*,Seminar,Seminar, ,,,,,,,,
Denise Harris,"I agree with you ladies. I also think that she sends him to the tiger. She loves him fiercely, so fiercely that she cannot bear the thought of someone else having him. Jealousy can make people do ugly things and mix that in with her pure barbaric nature, it makes sense that she would choose for him to stop living versus living with someone else. Mourning would be easier than seeing the person you love happy with another, which is clear by the ways she describes her thoughts and turmoil over the situation.",Seminar,Seminar, ,,"Affirm, Elaborate","Affirm, Elaborate",,,,,
Denise Harris,I believe the King would be upset that the rules of his arena were broken. But,Seminar,Seminar, ,,,,,,,,
Denise Harris,"But I think he would also revel in the fact that his daughter could be so barbaric. However, he does seem to hold the random chance of fate of the arena in the highest regard so although he loves his daughter above all else I think he may make an example of her. Especially if the people found out what happened",Seminar,Seminar, ,,Elaborate,,,,,,
Ashley Peterson,"Just realized I never answered the second question. I also agree that while the king may feel a bit of pride for his daughter, he holds his beliefs in his chance of fate style of justice so closely to his chest, so he most likely made an example out of his daughter as well.","Deliberation, Seminar",Seminar, ,,Affirm,,,,Seminar to Deliberation to Seminar,,
Denise Harris,Hey Ashley Peterson! I also wanted to mention the story mention the King's barbaric nature numerous times so it is highly likely that he would punish his daughter.,"Social, Seminar",Seminar, ,,Elaborate,Elaborate,,,Seminar to Socal to Seminar,,
Ashley Peterson,"Oh definitely! I wrote out a possible response beneath your reiteration. Feel free to add/delete whichever parts! Joyce Brown, do you have any further thoughts about how the king would react? You mentioned he would most likely decide his daughter would be a worthy predecessor while Denise Harris and I believe he would punish her anyway.",Deliberation,Seminar, ,End,"Affirm, Prompt",Affirm,C-HOT,C-HOT,Seminar to Deliberation,,
Joyce Brown,"I added a brief ending. If everyone is good with it, lets hit submit",Deliberation,Deliberation, ,,,,,,,Seminar to Deliberation,
Ashley Peterson,Sounds good!,Deliberation,Social,End,,Affirm,Affirm,,,,Deliberation to Social,
Patricia Green,Hi everyone! I have read the story and am ready to discuss.  I can log back in later to see if anyone else is ready.  Should we try to figure out a time to all come back and work in here together?,Procedure,Procedure,Begin,Begin,,,C-LOT,C-LOT,,,"We coded PIM P1 Book Club 4 together, which is why R2 is blacked out."
Linda Long,"Hi Patricia Green and Michelle Rivera,",Social,Social,,,,,,,,,
Linda Long,"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,",Procedure,Procedure,,,,,,,,,
Michelle Rivera,"Apologies for my slacking with this, I am also finished now.",Social,Social,,,,,,,,,
Linda Long,Can we plan on Tuesday the 23rd at 8pm to all meet back here to discuss and answer? Thanks,Procedure,Procedure,,,,,C-LOT,C-LOT,,,
Patricia Green,"I just replied to the email, but yes"" I can meet back here tomorrow (Tues. at 8pm). ""See"" you all then!""",Procedure,Procedure,End,End,,,,,,,
Patricia Green,"Hi Linda Long and Michelle Rivera, I am here and ready whenever you both are.",Procedure,Procedure,,,,,,,,,
Michelle Rivera,"I am on,",Procedure,Procedure,,,,,,,,,
Patricia Green,"So, we discuss the prompt here and then write it together in the box below?",Procedure,Procedure,Begin,Begin,,,C-LOT,C-LOT,,,
Michelle Rivera,I think so.,Procedure,Procedure,,,Affirm,Affirm,,,,,
Patricia Green,"Ok, that's how I understand it as well. Let's wait a few more minutes to give Julie a chance to join us. Sound good?",Procedure,Procedure,,,Affirm,Affirm,C-LOT,C-LOT,,,
Michelle Rivera,"Yes. and honestly, the first time I read the prompt I thought we were just answering the questions in a method of critical thinking question. Now I am wondering if we are supposed to write an ending",Procedure,Procedure,,,,,,,,,
Patricia Green,Good point. I thought the same thing about how to answer the questions.,Procedure,Procedure,,,Affirm,Affirm,,,,,
Patricia Green,It really could be interpreted either way. Just answer questions or write an ending . . . .,Deliberation,Deliberation,,,,,,,Procedure to Deliberation,Procedure to Deliberation,
Michelle Rivera,"Yes, potentially something for the research team to work on clarifying....",Deliberation,Deliberation,,,,,,,,,
Patricia Green,Definitely,Deliberation,Deliberation,,,,,,,,,
Patricia Green,How much longer would you like to wait for Julie before we begin? 5 more minutes?,Procedure,Procedure,,,,,C-LOT,C-LOT,Deliberation to Procedure,Deliberation to Procedure,
Michelle Rivera,"If you can I can, or we could start and she could catch up?",Procedure,Procedure,,,,,C-LOT,C-LOT,,,
Michelle Rivera,"I hope she's not back on one of the earlier pages, I just went back to reference and clicked the discussion and was left with a blank page, all these messages were not there.",Procedure,Procedure,End,End,,,,,,,
Linda Long,"So, what do you think about the questions?",Deliberation,Deliberation,,,,,O-LOT,O-LOT,,,
Patricia Green,"Perfect, we are all here.",Procedure,Procedure,,,,,,,,,
Linda Long,Sorry for the delay,Social,Social,,,,,,,,,
Michelle Rivera,"In terms of just answering I feel like the tiger was behind the door, and later the King puts the daughter to trial...",Seminar,Seminar,Begin,Begin,,,,,Social to seminar,Social to Seminar,
Linda Long,That's exactly what I think as well.,Seminar,Seminar,,,Affirm,Affirm,,,,,
Patricia Green,"No problem. :) So to jump right in, when I read I felt like she sent him to the door with the tiger.",Seminar,Seminar,,,,,,,,,
Patricia Green,"Ok, we all thought the tiger!",Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,does this mean we are barbaric too?,Imaginative,Imaginative,,,,,C-HOT,C-HOT,Seminar to Imaginative,Seminar to Imaginative,
Patricia Green,"Ha ha, maybe!",Imaginative,Imaginative,,,Affirm,Affirm,,,,,
Patricia Green,"So if the King puts his daughter on trial, does that mean he sets her up with 2 doors as well?",Seminar,Seminar,,,Prompt,Prompt,C-HOT,C-HOT,Imaginative to seminar,Imaginative to Seminar,
Linda Long,"lol no, it just seemed like what happened based on her father, and her own jealous nature",Seminar,Seminar,,,Disagree,Disagree,,,,,
Patricia Green,"Yes, she did seem very jealous. The story led me to believe she would rather nobody have him if she could not.",Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,"from my thoughts I thought yes, he sets up 2 doors for her and lets the trial decide.",Seminar,Seminar,,,Affirm,Affirm,,,,,
Linda Long,"I think so. Even though the story said he loved her so much, I think his barbaric nature would take over his reasoning",Seminar,Seminar,End,End,Affirm,Affirm,,,,,
Patricia Green,"Ok, so what happens then? Do we choose which door she opens?",Deliberation,Deliberation,Begin,Begin,,,"O-HOT, C-LOT","O-HOT, C-LOT",Seminar to Deliberation,Seminar to Deliberation,
Linda Long,Are we all supposed to write our answers below?,Deliberation,Deliberation,,,,,C-LOT,C-LOT,,,
Michelle Rivera,"I think it's barbaric nature but also slightly just (in a warped way), because as it mentions he treated women and men equally so would feel obliged to treat his daughter the same",Seminar,Seminar,Break,Break,,,,,,,
Patricia Green,"Yes, I think so. We were discussing if we write it like answers or finish the story? Thoughts?",Deliberation,Deliberation,,,Affirm,Affirm,C-LOT,C-LOT,,,
Michelle Rivera,"Good question Julie, we were discussing before you logged on, we are not quite sure if the prompt is looking for just the answers or an ending to be written",Deliberation,Deliberation,,,,,,,,,
Linda Long,"Yes, that's true as well",Deliberation,Deliberation,,,Affirm,Affirm,,,,,
Michelle Rivera,I'm not sure about the ending if we pick the door for her...personally as a (casual) author I would not want to pick an ending in this case,Deliberation,Deliberation,,,,,,,,,
Linda Long,I think we are supposed to surmise or predict what we think happens,Deliberation,Deliberation,,,,,,,,,
Michelle Rivera,Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?,Deliberation,Deliberation,,,,,C-LOT,C-LOT,,,
Patricia Green,"Ok, that works for me. We can just answer the questions.",Deliberation,Deliberation,,,,,,,,,
Michelle Rivera,...then the same for the second part?,Deliberation,Deliberation,,,,,C-LOT,C-LOT,,,
Patricia Green,"Yes, lets do that!",Deliberation,Deliberation,,,Affirm,Affirm,,,,,
Linda Long,"Yes, I'd rather keep it simple lol",Deliberation,Deliberation,End,End,Affirm,Affirm,,,,,
Michelle Rivera,"I like the ""doom""",Seminar,Seminar,Begin,Begin,,,,,Deliberation to seminar,Delibration to Seminar,
Linda Long,is that too much?,Seminar,Seminar,,,,,C-HOT,C-HOT,,,
Patricia Green,No I think it is good.,Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,I don't think it is too much.,Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,Is the second sentence for part 2 okay?,Seminar,Seminar,,,,,C-HOT,C-HOT,,,
Linda Long,Should we mention that love didn't weigh in to either of their decisions?,Seminar,Seminar,,,,,C-HOT,C-HOT,,,
Patricia Green,I like it. It draws from the story.,Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,Probably yes,Seminar,Seminar,,,Affirm,Affirm,,,,,
Patricia Green,Good idea.,Seminar,Seminar,End,End,Affirm,Affirm,,,,,
Linda Long,"I'm not sure how to word it, but I think their barbaric nature made them irrational and maybe incapable of love? Something like that...",Seminar,Seminar,Begin,Begin,Elaborate,Elaborate,C-HOT,C-HOT,,,
Michelle Rivera,I mean I think it states that the king does love the daughter at some point though.,Seminar,Seminar,,,Elaborate,Elaborate,,,,,
Michelle Rivera,"Maybe not to enough of a degree not to put her to trial...but he does love her, just like to a degree she loved the man",Seminar,Seminar,,,Elaborate,Elaborate,,,,,
Patricia Green,"Maybe write that the king, despite his love for his daughter, could only act in a barbaric manner",Seminar,Seminar,,,Elaborate,Elaborate,,,,,
Patricia Green,He was tied to his own idealistic principles?,Seminar,Seminar,,,Elaborate,Elaborate,C-HOT,C-HOT,,,
Michelle Rivera,yes,Seminar,Seminar,,,Affirm,Affirm,,,,,
Patricia Green,I like it! Good sentemce.,Seminar,Seminar,,,Affirm,Affirm,,,,,
Patricia Green,sentence*,Seminar,Seminar,,,,,,,,,
Linda Long,"There, lol. what do you girls think?",Seminar,Seminar,,,,,O-LOT,O-LOT,,,
Michelle Rivera,I like it...,Seminar,Seminar,End,End,Affirm,Affirm,,,,,
Linda Long,"So, we title it SUBMITTED and that's it, right?",Deliberation,Deliberation,,,,,C-LOT,C-LOT,Seminar to Deliberation,Seminar to Deliberation,
Patricia Green,Good job!,Social,Social,,,,,,,,,
Patricia Green,"Yes, I believe so and then fill out the survey thing back on canvas saying we completed the assignment. And that's it right?",Deliberation,Deliberation,,,,,C-LOT,C-LOT,,,
Michelle Rivera,"Yes, and I know that we are going with just answering but should you want to see an ending I was messing around with I would gladly share (we don't have to submit that necessarily)",Deliberation,Deliberation,Begin,Begin,,,,,,,
Michelle Rivera,I believe that is all the survey and canvas yes,Procedure,Procedure,Break,Break,,,,,,,
Patricia Green,"Sure, share it. I am curious.",Deliberation,Deliberation,,,,,,,,,
Linda Long,"sure, let's see it",Deliberation,Deliberation,,,,,,,,,
Linda Long,I like it,Deliberation,Deliberation,,,Affirm,Affirm,,,,,
Patricia Green,Yes!! Well done.,Deliberation,Deliberation,,,Affirm,Affirm,,,,,
Patricia Green,I can see it clearly.,Deliberation,Deliberation,,,Affirm,Affirm,,,,,
Linda Long,Yes it fits well with the story,Deliberation,Deliberation,,,Affirm,Affirm,,,,,
Michelle Rivera,"yay, lol.",Social,Social,,,Affirm,Affirm,,,,,
Linda Long,We could leave it in if you want. We've answered the questions and then some. I don't think it would hurt. What do you girls think?,Deliberation,Deliberation,,,,,O-LOT,O-LOT,,,
Patricia Green,"If you would like, we can leave both our answers and your ending. That way we have both options covered. But if you'd rather not that's okay too.",Deliberation,Deliberation,,,,,,,,,
Patricia Green,"I agree, Linda Long. If you are okay with that, Michelle Rivera?",Deliberation,Deliberation,,,Affirm,Affirm,C-LOT,C-LOT,,,
Michelle Rivera,"I feel the flow doesn't entirely match the original story, but I felt it was awkwardly written and okay. We can add (ending) before it?",Deliberation,Deliberation,,,,,C-LOT,C-LOT? C-HOT?,,,
Linda Long,I say leave it in. It's well-written and adds depth to the answers.,Deliberation,Deliberation,,,,,,,,,
Michelle Rivera,Good with the parentheses?,Deliberation,Deliberation,,,,,C-LOT,C-LOT,,,
Patricia Green,Good idea. And I agree that original story was very awkwardly written. The syntax was strange.,Seminar,Seminar,,,Affirm,Affirm,,,Deliberation to seminar,Deliberationa to Seminar,
Linda Long,"It might not add to the style in which it was written, but what you predicted to happen fits well with the story in my opinion",Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,thank you,Social,Social,,,Affirm,Affirm,,,,,
Patricia Green,I agree Linda Long. It makes logical sense as a conclusion based on previous events in the story.,Seminar,Seminar,,,Affirm,Affirm,,,,,
Michelle Rivera,yet also leaves it open ended (because how can we decide whether the princess lives or dies),Seminar,Seminar,,,,,,,,,
Patricia Green,True!!,Seminar,Seminar,,,Affirm,Affirm,,,,,
Patricia Green,I'd say we pretty have wrapped things up then. It was nice working with both of you!,Social,Social,End,End,,,,,Seminar to Social,Seminar to Social,
Linda Long,"Well, the title of the story is a question - one that may never be answered. I think that was deliberate.",Seminar,Seminar,,,,,,,,,
Linda Long,Good job ladies. Thank you both.,Social,Social,,,,,,,,,
Patricia Green,"Yes, thank you too. Good job everyone. :)",Social,Social,,,,,,,,,
Michelle Rivera,"Yes thank you, glad we could get on at the same time. :)",Social,Social,,,,,,,,,
Katherine Bryant,"Hello, here are my thoughts on the two questions. Part 1: Because I believe she does indeed love him, I think that she directs him to the door with the lady. My reasoning is that love would prevent her from being responsible for his death. Part 2: Based on what we know about the king, I think it's likely he would be quite upset and consider putting his own daughter to the same fate as her lover. Her breaking the rules is a huge blow to his ego, and it doesn't seem as though he is the type to let that sort of this slide, even if it's his daughter's life on the line. Plus, if he doesn't apply the same rules to her as the rest of his subjects, the laws his entire kingdom are based upon are at risk. I just don't see him as being able to get past all that, so I think she would face the two doors like everyone else.",,Seminar,,,,,,,,,
